the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.93842104249207 40.85095687025286),1,Manhattan,112,10,71,31,13,2266,1366,General,backed,12/02/2013,801 W 181st street,801 W 181st street,W 181st Street,Pinehurst Avenue & Fort Washington Avenue,Manhattan,112,Not Applicable,Not Applicable,40.8509568703,-73.9384210425,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95509556390654 40.77927572878938),1,Manhattan,108,5,73,28,12,1489,1709,General,backless,05/21/2013,150 East 86th Street,150 East 86th Street,86th Street,Lexington and 3rd Avenue,Manhattan,108,Not Applicable,Not Applicable,40.779284,-73.955097,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96958455775454 40.796258725712434),1,Manhattan,107,7,69,30,10,3343,2013,Municipal Facilities,backed,05/21/2016,225 W 99th Street,225 W 99th Street,W 99th Street,Broadway and Amsterdam Avenue,Manhattan,107,Not Applicable,Columbus/Amsterdam,40.796267,-73.969586,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01147354992288 40.714441743417474),1,Manhattan,101,1,66,26,10,1940,531,BID,backed 2,07/31/2018,255 Greenwich Street,255 Greenwich Street,Murray Street,Greenwhich Street & West Broadway,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.71445,-74.011475,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.94054356805775 40.79232872540783),1,Manhattan,111,8,68,29,13,3879,0,General,,02/05/2018,308 E. 109th Street,308 E. 109th Street,E. 109th Street,2nd Avenue & 1st Avenue,Manhattan,111,Not Applicable,Not Applicable,40.792337,-73.940545,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.97303255675985 40.790375727663964),1,Manhattan,107,6,67,30,10,3938,297,Senior Safety,backless 2,01/02/2018,621 Amsterdam Avenue,621 Amsterdam Avenue,Amsterdam Avenue,90th Street & 91st Street,Manhattan,107,Not Applicable,Not Applicable,40.790384,-73.973034,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00785769861767 40.724149962371335),1,Manhattan,102,3,66,27,10,2688,1638,BID,backed,12/12/2014,225 Hudson Street,225 Hudson Street,Hudson Street,Canal Street & Broome Street,Manhattan,102,Not Applicable,Hudson Square Connection,40.7241499624,-74.0078576986,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.92631256722598 40.86587271081123),1,Manhattan,112,10,72,31,13,3139,1472,General,backed,09/12/2015,4781 Broadway,4781 Broadway,Broadway,Dyckman Street & Cumming Street,Manhattan,112,Not Applicable,Not Applicable,40.865881,-73.926314,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9662885592713 40.794559726323804),1,Manhattan,107,7,69,30,10,1275,446,General,backed,10/11/2013,808 Columbus Avenue,808 Columbus Avenue,Columbus Avenue,West 98th & West 99th Street,Manhattan,107,Not Applicable,Not Applicable,40.794568,-73.96629,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98765755635833 40.73548573852398),1,Manhattan,106,2,74,28,12,2120,775,Community Health Centers,backed,08/12/2013,40 Irving Place,40 Irving Place,Irving place,E 16th Street and E 17th Street,Manhattan,106,Not Applicable,Not Applicable,40.735494,-73.987659,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94009167216454 40.83015010860988),1,Manhattan,109,9,71,30,13,3188,2218,General,backed,06/01/2016,433 Edgecomb Avenue,433 Edgecomb Avenue,W 155th Street,Amsterdan Avenue & Audubon Avenue,Manhattan,109,BX06,Not Applicable,40.8301501086,-73.9400916722,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98425455739958 40.739303737743704),1,Manhattan,106,2,75,28,12,1144,0,Senior Center,backless,,149 East 23rd Street,149 East 23rd Street,East 23rd Street,Lexington Avenue & 3rd Avenue,Manhattan,106,M23,Not Applicable,40.739312,-73.984256,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.0080045499243 40.72739174060734),1,Manhattan,102,3,66,27,10,983,396,BID,backed,10/24/2012,103 Charlton Street,103 Charlton Street,Charlton Street,Broome and Grand Streets,Manhattan,102,Not Applicable,Hudson Square Connection,40.7274,-74.008006,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.96835555888786 40.79169472709611),1,Manhattan,107,6,69,30,10,3056,1886,General,backed,02/05/2015,703 Columbus Avenue,703 Columbus Avenue,Columbus Avenue,W 94th Street & W 95th Street,Manhattan,107,Not Applicable,Not Applicable,40.791703,-73.968357,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94732056591093 40.775662729368946),1,Manhattan,108,5,76,28,12,1997,372,General,backless 2,07/10/2013,1625 York Avenue,1625 York Avenue,York Avenue,E 85th & E 86th Street,Manhattan,108,M31,Not Applicable,40.775671,-73.947322,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95122356354986 40.79990872488491),1,Manhattan,110,9,68,30,13,963,551,Senior Center,backed,05/06/2013,55 Lenox Avenue,55 Lenox Avenue,Lenox Avenue,Central Park North & 111th Street,Manhattan,110,Not Applicable,Not Applicable,40.799917,-73.951225,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.96588956090446 40.76251173248632),1,Manhattan,108,4,73,28,12,795,236,General,backed,10/01/2012,1020 Third Avenue,1020 3rd Avenue,3rd Avenue,East 60th and 61st Streets,Manhattan,108,Not Applicable,Not Applicable,40.76252,-73.965891,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99058655360385 40.7682497325009),1,Manhattan,104,6,67,27,10,2337,1058,Senior Center,backed,01/15/2014,530 W 55th Street,530 W 55th Street,W 55th Street,10th & 11th Avenue,Manhattan,104,Not Applicable,Not Applicable,40.768258,-73.990588,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9732905565343 40.79514872623967),1,Manhattan,107,6,69,31,10,2837,1439,Municipal Facilities,backed,12/09/2014,735 West End Avenue,735 West End Avenue,West End Avenue,West 95th Street & West 96th Street,Manhattan,107,Not Applicable,Not Applicable,40.795157,-73.973292,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9373205668831 40.81317572170616),1,Manhattan,110,9,70,30,13,3021,1631,Municipal Facilities,backless,01/28/2015,2230 5th Avenue,2230 5th Avenue,W. 135th Street,W. 135th Street and W. 136th Street,Manhattan,110,BX33,Not Applicable,40.813184,-73.937322,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.93442256993319 40.79558872468471),1,Manhattan,111,8,68,29,13,1237,227,General,backed,10/11/2012,421-435 East 116th Street,421 East 116th Street,East 116th Street,1st Avenue and Pleasant Avenue,Manhattan,111,Not Applicable,Not Applicable,40.795597,-73.934424,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.94748456579718 40.782692728067175),1,Manhattan,108,5,73,29,12,2484,1514,Health Care Facilities,backed,05/16/2014,312 East 94th Street,312 East 94th Street,East 94th Street,First Avenue and Second Avenue,Manhattan,108,Not Applicable,Not Applicable,40.782701,-73.947486,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95772656402603 40.76436473163338),1,Manhattan,108,5,76,28,12,3157,2016,AAR,backed,04/13/2016,417 E 67th Street,417 E 67th Street,E 67th Street,York Avenue & 1st Avenue,Manhattan,108,Not Applicable,Not Applicable,40.764373,-73.957728,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94146056461636 40.83361771787438),1,Manhattan,112,7,71,30,13,3649,11,Senior Safety,backed 2,05/06/2017,1983 Amsterdam Avenue,1983 Amsterdam Avenue,Amsterdam Avenue,W. 159th Street & W. 158th Street,Manhattan,112,Not Applicable,Not Applicable,40.833626,-73.941462,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94636456543194 40.79316572548861),1,Manhattan,111,8,68,29,13,1242,238,General,backed,10/09/2012,127 East 107th Street,127 East 107th Street,East 107th Street,East 107th and 108th Streets,Manhattan,111,Not Applicable,Not Applicable,40.793174,-73.946366,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
