the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.8304310411873 40.8763399272421),2,Bronx,210,12,82,36,16,1355,419,General,backless,01/14/2013,133 DeFoe Pl,133 DeFoe Place,DeFoe Place,Dreiser Loop and Co Op City Boulevard,Bronx,210,BX28,Not Applicable,40.8763399272,-73.8304310412,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.81166860781676 40.81537171645267),2,Bronx,210,13,82,34,14,1531,382,General,backed,01/14/2013,150 Throgs Neck Blvd,150 Throgs Neck Blvd,Throgs Neck Blvd,Schurz Road and Harding Avenue,Bronx,210,Not Applicable,Not Applicable,40.81538,-73.81167,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.89715429230262 40.862276082580685),2,Bronx,205,15,78,33,15,1690,893,BID,backed,02/07/2013,N. Overpass Grand Concourse & E. Fordham Road,,,Grand Concourse and E. Fordham Road,Bronx,207,Not Applicable,Fordham Road,40.8622760826,-73.8971542923,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92793157109075 40.80986572156292),2,Bronx,201,8,84,29,15,1993,2014,General,backless,06/04/2015,188 Lincoln Avenue,300 East 138th Street,E. 138th Street,Lincoln Avenue & Alexander Avenue,Bronx,201,BX33,Not Applicable,40.809874,-73.927933,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.92056157051657 40.84293471469156),2,Bronx,204,16,77,29,15,2655,1224,Municipal Facilities,backed,08/07/2014,1449 Shakespeare Avenue,1449 Shakespeare Avenue,Shakespeare Avenue,W. 172nd Street and Sheriff S Byrd Place,Bronx,204,Not Applicable,Not Applicable,40.842943,-73.920563,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91317757501083 40.82399371823137),2,Bronx,203,17,79,32,15,3447,2163,Municipal Facilities,backed,06/08/2016,421 E 161st Street,421 E 161st Street,161st Street,Melrose Avenue & Elton Avenue,Bronx,203,Not Applicable,Not Applicable,40.824002,-73.913179,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.92890756929046 40.818978719780446),2,Bronx,204,8,84,29,15,18,74,Bus Route,backless,05/16/2012,125 East 149th Street,125 East 149th Street,East 149th Street,Gerard Avenue & Walton Avenue,Bronx,204,BX19,Not Applicable,40.818987,-73.928909,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.88614264829883 40.880447332969915),2,Bronx,207,11,81,34,13,4262,180,Bus Route,backed 2,09/30/2019,3599 Paul Avenue,3599 Paul Avenue,Paul Avenue,W Mosholu Parkway South & W 205th Street,Bronx,207,BX10,Not Applicable,40.880447333,-73.8861426483,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89212358028776 40.83093871653525),2,Bronx,203,17,79,32,15,3090,540,General,backless,06/04/2015,1303 Louis Nine Boulevard,1303 Louis Nine Boulevard,Louis Nine Boulevard,Southern Boulevard & Intervale Avenue,Bronx,203,Not Applicable,Not Applicable,40.830947,-73.892125,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90918957384358 40.857988712093736),2,Bronx,205,14,86,33,15,841,421,General,backless,01/10/2013,2162 University Avenue,2162 University Avenue,University Avenue,181st Street and Osbourne Place,Bronx,205,BX03,Not Applicable,40.857997,-73.909191,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85952058712567 40.88952770410082),2,Bronx,212,12,83,36,16,3574,82,Municipal Facilities,backed 2,06/28/2017,4035 White Plains Road,4035 White Plains Road,White Plains Road,E 227th Street & E 228th Street,Bronx,212,Not Applicable,Not Applicable,40.889536,-73.859522,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84307359533706 40.85992170919784),2,Bronx,211,13,80,34,14,2227,1367,Senior Center,backed,12/02/2013,2323 Eastchester Road,2323 Eastchester Road,Eastchester Road,Astor and Waring Avenues,Bronx,211,BX31,Not Applicable,40.85993,-73.843075,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91141657434643 40.83285771699094),2,Bronx,204,16,77,32,15,3487,70,Municipal Facilities,backed 2,06/29/2017,360 E 168th Street,360 E 168th Street,E 168th Street,Findlay Avenue & Teller Avenue,Bronx,204,Not Applicable,Not Applicable,40.832866,-73.911418,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89097558083304 40.845319713702494),2,Bronx,206,17,79,33,15,2897,638,Municipal Facilities,backless,12/03/2014,700 East Tremont Avenue,1936 Crotona Avenue,Crotona Avenue,East Tremont Avenue & Fairmount Place,Bronx,206,BX17,Not Applicable,40.845328,-73.890977,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85652215139261 40.85691420028481),2,Bronx,211,13,80,34,14,3670,52,Bus Route,backed 2,03/11/2017,1130 Pelham Pkwy South,1130 Pelham Pkwy South,Pelham Parkaway,Williamsbridge Road & Tomlinson Avenue,Bronx,211,BX12,Not Applicable,40.8569142003,-73.8565221514,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8568965922492 40.83657671431651),2,Bronx,209,18,87,32,14,2451,967,Senior Center,backed,05/02/2014,1525 Unionport Road,1525 Unionport Road,Unionport Road,MacGraw Avenue and Metropolitan Street,Bronx,209,Not Applicable,Not Applicable,40.836585,-73.856898,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88690857918004 40.882169706267824),2,Bronx,207,11,81,34,13,2091,831,Community Health Centers,backless,08/06/2013,100 West Mosholu Parkway South,100 West Mosholu Parkway South,Mosholu Parkway,Paul and Sedgwick Avenues,Bronx,207,BX1,Not Applicable,40.882178,-73.88691,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89422657645076 40.88299970628513),2,Bronx,208,11,81,34,13,1617,313,Senior Center,backed,03/27/2013,3874 Sedgwick Avenue,3874 Sedgwick Avenue,Sedgwick Avenue,Stevenson Place & Van Cortland Avenue W,Bronx,208,Not Applicable,Not Applicable,40.883008,-73.894228,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92316251689046 40.80500666967576),2,Bronx,201,8,84,29,15,4111,436,General,backed 2,04/04/2019,100 bruckner blvd,100 bruckner blvd,Bruckner Boulevard,Westchester Avenue & Amendola Place,Bronx,201,BX29,Not Applicable,40.8050066697,-73.9231625169,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.90257257516998 40.87090270904599),2,Bronx,208,14,78,33,13,2437,431,Health Care Facilities,backless,05/01/2014,2735 Sedgwick Avenue,2735 Sedgwick Avenue,Sedgwick Avenue,W. 195th Street and W. Kingsbridge Road,Bronx,208,BX03,Not Applicable,40.870911,-73.902574,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90074957772285 40.83527771604325),2,Bronx,203,16,79,33,15,2693,1401,Municipal Facilities,backed,09/10/2014,580 Crotona Park South,580 Crotona Park South,Crotona Park South,Fulton Avenue & Franklin Avenue,Bronx,203,Not Applicable,Not Applicable,40.835286,-73.900751,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90121957863427 40.82066771841409),2,Bronx,203,17,79,32,15,2138,841,Community Health Centers,backed,09/11/2013,871 Prospect Avenue,871 Prospect Avenue,Prospect Avenue,East 161st and 162nd Streets,Bronx,203,Not Applicable,Not Applicable,40.820676,-73.901221,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87834158265058 40.874198707655715),2,Bronx,207,11,80,36,13,1968,651,General,backed,07/02/2013,285 East 205th Street,285 East 205th Street,East 205th Street,E 204th Street & Perry Avenue,Bronx,207,Not Applicable,Not Applicable,40.874207,-73.878343,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87848499531574 40.87564180161788),2,Bronx,207,11,80,36,13,4164,60,General,backed 2,08/01/2018,228 East 207th Street,228 East 207th Street,East 207th Street,Bainbridge Avenue & Perry Avenue,Bronx,207,Not Applicable,Not Applicable,40.8756418016,-73.8784849953,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89872057728151 40.86222671103118),2,Bronx,205,14,86,33,15,1945,559,BID,backed,05/07/2013,114 East Fordham Road,114 East Fordham Road,East Fordham Rd & 188th Street,E. Fordham Road & 188th Street,Bronx,205,Not Applicable,Fordham Road,40.862235,-73.898722,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90606157793667 40.812610720314844),2,Bronx,201,8,84,29,15,2697,658,Municipal Facilities,backed,11/05/2014,811 East 149th Street,811 East 149th Street,East 149th Street,Tinton Avenue & Union Avenue,Bronx,201,Not Applicable,Not Applicable,40.812619,-73.906063,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9127165749843 40.82275471878288),2,Bronx,203,17,79,32,15,796,352,General,backed,01/10/2013,843 Elton Avenue,843 Elton Avenue,East 160th Street,East 159th and 160th Streets,Bronx,203,Not Applicable,Not Applicable,40.822763,-73.912718,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.87953758394535 40.84076671444485),2,Bronx,206,15,87,32,15,2899,1199,Municipal Facilities,backless,12/18/2014,2024 Boston Road,1065 East Tremont Avenue,East Tremont Avenue,Boston Road & East 177th Street,Bronx,206,BX21,Not Applicable,40.840775,-73.879539,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.88245267439459 40.85056209536325),2,Bronx,206,15,78,33,15,4140,415,General,backed 2,05/21/2019,2300 Southern Boulevard,2300 Southern Boulevard,Crotona Parkway,Bronx Park South & La 65 de Enfanteria,Bronx,206,Not Applicable,Not Applicable,40.8505620954,-73.8824526744,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91090857452375 40.84041371569674),2,Bronx,204,16,77,33,15,2135,742,Community Health Centers,backed,09/09/2013,240 East 172nd Street,240 East 172nd Street,Morris Avenue,East 171st and 172nd Streets,Bronx,204,BX32,Not Applicable,40.840422,-73.91091,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89233692159803 40.83153443231613),2,Bronx,203,17,79,32,15,1535,287,General,backed,02/04/2013,1334 Louis Nine Boulevard,1334 Louis Nine Boulevard,Plaza,"Intervale Avenue, Louis Nine Blvd & Jennings Street",Bronx,203,Not Applicable,Not Applicable,40.8315344323,-73.8923369216,X,AREA OF MINIMAL FLOOD HAZARD,
