OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
12508,2,Free,LinkNYC - Citybridge,bx-05-119590,104 EAST BURNSIDE AVENUE,40.8530429796,-73.9055522198,1010378.43428,250078.147203,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001787,07/01/2016,2,Bronx,BX41,Mount Hope,14,10453,205,241,241,2007668,2028070060,3593,"(40.8530429796, -73.9055522198)"
10893,2,Free,LinkNYC - Citybridge,bx-05-111503,305 EAST BURNSIDE AVENUE,40.8505484104,-73.9009541102,1011651.50194,249170.686091,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010251,06/13/2017,2,Bronx,BX41,Mount Hope,15,10457,205,381,381,2013524,2031490070,3851,"(40.8505484104, -73.9009541102)"
12007,2,Free,LinkNYC - Citybridge,bx-05-119610,48 WEST BURNSIDE AVENUE,40.8538420303,-73.9093879802,1009316.9925,250368.150888,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011861,02/08/2017,2,Bronx,BX36,University Heights-Morris Heights,14,10453,205,243,243,2008631,2028700030,4094,"(40.8538420303, -73.9093879802)"
11990,2,Free,LinkNYC - Citybridge,bx-01-144251,3097 3 AVENUE,40.8214369997,-73.9123269999,1008515.75625,238560.970434,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011660,05/22/2017,2,Bronx,BX34,Melrose South-Mott Haven North,17,10451,201,69,69,2001451,2023790050,4077,"(40.8214369997, -73.9123269999)"
11080,2,Free,LinkNYC - Citybridge,bx-01-118955,2901 3 AVENUE,40.8171412003,-73.9162084399,1007442.96541,236994.804931,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-013313,12/22/2016,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,65,65,2001339,2023740020,4277,"(40.8171412003, -73.9162084399)"
11038,2,Free,LinkNYC - Citybridge,bx-05-123185,23 WEST BURNSIDE AVENUE,40.8538810002,-73.9086619994,1009517.81363,250382.557683,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-012881,01/12/2017,2,Bronx,BX36,University Heights-Morris Heights,14,10453,205,251,251,2014160,2031930030,4235,"(40.8538810002, -73.9086619994)"
9764,2,Free,LinkNYC - Citybridge,bx-01-119011,548 EAST 138 STREET,40.8068195404,-73.9176573999,1007045.43766,233233.877414,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-013019,07/26/2018,2,Bronx,BX39,Mott Haven-Port Morris,8,10454,201,25,25,2000047,2022650050,4881,"(40.8068195404, -73.9176573999)"
9781,2,Free,LinkNYC - Citybridge,bx-01-119017,710 EAST 138 STREET,40.8047055204,-73.91293263,1008354.19161,232464.930461,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-013018,07/02/2018,2,Bronx,BX39,Mott Haven-Port Morris,8,10454,201,2702,2702,2003792,2025660020,4898,"(40.8047055204, -73.91293263)"
9835,2,Free,LinkNYC - Citybridge,bx-01-146049,289 MORRIS AVENUE,40.8120789372,-73.9265896208,1004571.06761,235147.863415,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020603,07/02/2018,2,Bronx,BX39,Mott Haven-Port Morris,8,10451,201,51,51,2000953,2023330030,4612,"(40.8120789372, -73.9265896208)"
12009,2,Free,LinkNYC - Citybridge,bx-01-123212,2976A 3 AVENUE,40.8185596503,-73.9143003497,1007970.60675,237512.108031,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011876,03/30/2017,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,71,71,2001180,2023630010,4096,"(40.8185596503, -73.9143003497)"
11994,2,Free,LinkNYC - Citybridge,bx-01-144892,442 WILLIS AVENUE,40.8135750296,-73.9194912204,1006535.50725,235694.669408,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011709,04/20/2018,2,Bronx,BX39,Mott Haven-Port Morris,8,10455,201,43,43,2000498,2022900000,4081,"(40.8135750296, -73.9194912204)"
11115,2,Free,LinkNYC - Citybridge,bx-07-145933,2616 JEROME AVENUE,40.8667651899,-73.8978027796,1012516.43853,255080.081425,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018403,11/03/2017,2,Bronx,BX05,Bedford Park-Fordham North,14,10468,207,401,401,2014132,2031910020,4558,"(40.8667651899, -73.8978027796)"
11159,2,Free,LinkNYC - Citybridge,bx-01-146055,468 BROOK AVENUE,40.8128409098,-73.9160743496,1007481.58181,235428.091201,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020515,05/31/2018,2,Bronx,BX39,Mott Haven-Port Morris,8,10455,201,43,43,2090711,2022720010,4602,"(40.8128409098, -73.9160743496)"
10902,2,Free,LinkNYC - Citybridge,bx-05-113539,70 WEST BURNSIDE AVENUE,40.8543462196,-73.9102178897,1009087.21737,250551.609839,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010287,01/17/2017,2,Bronx,BX36,University Heights-Morris Heights,14,10453,205,243,243,2008556,2028680140,3860,"(40.8543462196, -73.9102178897)"
12502,2,Free,LinkNYC - Citybridge,bx-07-119873,26 WEST KINGSBRIDGE ROAD,40.8676269996,-73.8987299995,1012259.61851,255393.774367,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001773,07/15/2016,2,Bronx,BX30,Kingsbridge Heights,14,10468,207,265,265,2014457,2032050030,3587,"(40.8676269996, -73.8987299995)"
12880,2,Free,LinkNYC - Citybridge,bx-04-145687,1049 GERARD AVENUE,40.8315430004,-73.9226449896,1005656.7367,242240.264257,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005435,01/17/2017,2,Bronx,BX63,West Concourse,8,10452,204,195,195,2002938,2024770020,3734,"(40.8315430004, -73.9226449896)"
9625,2,Free,LinkNYC - Citybridge,bx-07-117868,2415 JEROME AVENUE,40.8617621802,-73.9019647199,1011367.33978,253255.975821,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011033,06/26/2018,2,Bronx,BX30,Kingsbridge Heights,14,10468,207,253,253,2014338,2031990110,4824,"(40.8617621802, -73.9019647199)"
11250,2,Free,LinkNYC - Citybridge,bx-01-111740,652A MELROSE AVENUE,40.8187686798,-73.9164498502,1007375.57906,237587.690229,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010368,04/20/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,67,67,2001356,2023740070,3880,"(40.8187686798, -73.9164498502)"
9831,2,Free,LinkNYC - Citybridge,bx-01-146066,610 MELROSE AVE,40.8173798278,-73.9170781326,1007202.15782,237081.516372,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020595,04/30/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,65,65,2097082,2023740010,4608,"(40.8173798278, -73.9170781326)"
11987,2,Free,LinkNYC - Citybridge,bx-01-145841,301 WALTON AVENUE,40.8150393101,-73.9298853698,1003657.89293,236225.685407,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018222,06/28/2017,2,Bronx,BX63,West Concourse,8,10451,201,63,63,2001025,2023440080,4535,"(40.8150393101, -73.9298853698)"
10611,2,Free,LinkNYC - Citybridge,bx-06-101312,1917 SOUTHERN BOULEVARD,40.8418335401,-73.8859743595,1015799.84995,246000.572681,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010198,07/12/2018,2,Bronx,BX17,East Tremont,17,10460,206,36502,36502,2010153,2029600040,4803,"(40.8418335401, -73.8859743595)"
