OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
10542,1,Free,LinkNYC - Citybridge,mn-02-123586,118 VARICK STREET,40.7249248899,-74.0057953595,982643.658713,203386.285534,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014004,09/09/9999,1,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3,10013,102,37,37,1000000,1004910000,4787,"(40.7249248899, -74.0057953595)"
10736,1,Free,LinkNYC - Citybridge,mn-05-122446,430 7 AVENUE,40.7504884299,-73.9911302495,986707.549207,212699.961789,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-009918,01/18/2017,1,Manhattan,MN17,Midtown-Midtown South,3,10001,105,101,101,1014385,1007830030,3842,"(40.7504884299, -73.9911302495)"
12105,1,Free,LinkNYC - Citybridge,mn-05-122053,1256 BROADWAY,40.7481389399,-73.9881009003,987547.009798,211844.066519,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000134,04/10/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10001,105,76,76,1015805,1008330010,3060,"(40.7481389399, -73.9881009003)"
11214,1,Free,LinkNYC - Citybridge,mn-05-121640,24 EAST 32 STREET,40.7465112997,-73.9840991095,988655.936058,211251.240933,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013750,02/06/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10016,105,74,74,1017000,1008610060,4339,"(40.7465112997, -73.9840991095)"
12005,1,Free,LinkNYC - Citybridge,mn-10-119949,201 WEST 138 STREET,40.8173806385,-73.9425246333,1000158.75623,237076.167302,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-011824,03/13/2017,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10030,110,230,230,1060290,1020240030,4092,"(40.8173806385, -73.9425246333)"
11169,1,Free,LinkNYC - Citybridge,mn-11-120250,145 EAST 116 STREET,40.7986462699,-73.9414215295,1000468.65161,230250.776753,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013370,06/21/2017,1,Manhattan,MN34,East Harlem North,8,10035,111,182,182,1052323,1016440120,4294,"(40.7986462699, -73.9414215295)"
12474,1,Free,LinkNYC - Citybridge,mn-09-120408,562 WEST 113 STREET,40.8059230004,-73.9650810003,993916.985247,232898.448951,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001676,07/01/2016,1,Manhattan,MN09,Morningside Heights,7,10025,109,199,199,1057014,1018840060,3559,"(40.8059230004, -73.9650810003)"
11067,1,Free,LinkNYC - Citybridge,mn-10-137208,2640 FREDERICK DOUGLASS BOULEVARD,40.8201217,-73.9437762198,999811.6854,238074.609858,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013169,12/16/2016,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10030,110,230,230,1060395,1020260000,4264,"(40.8201217, -73.9437762198)"
11809,1,Free,LinkNYC - Citybridge,mn-10-119882,2504 FREDERICK DOUGLASS BLVD,40.8156958896,-73.9470017398,998919.897814,236461.571418,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014444,10/25/2016,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10030,110,226,226,1058819,1019390060,4429,"(40.8156958896, -73.9470017398)"
11061,1,Free,LinkNYC - Citybridge,mn-12-120334,600 WEST 162 STREET,40.8372410002,-73.9428759995,1000056.78202,244311.958604,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013129,02/06/2018,1,Manhattan,MN36,Washington Heights South,7,10032,112,245,245,1063354,1021370030,4258,"(40.8372410002, -73.9428759995)"
12544,1,Free,LinkNYC - Citybridge,mn-04-135620,127 8 AVENUE,40.7413733801,-74.0015011405,983834.020833,209378.936607,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000449,10/02/2017,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,10011,104,83,83,1088116,1007407500,3195,"(40.7413733801, -74.0015011405)"
12739,1,Free,LinkNYC - Citybridge,mn-03-108323,73 2 AVENUE,40.7264712603,-73.9893506197,987201.696513,203949.802452,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003240,10/07/2016,1,Manhattan,MN22,East Village,2,10003,103,38,38,1006595,1004600040,3666,"(40.7264712603, -73.9893506197)"
12861,1,Free,LinkNYC - Citybridge,mn-05-122858,2 WEST 57 STREET,40.76298745,-73.9742539496,991382.141236,217254.685619,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000872,07/12/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10019,105,112,112,1035053,1012727500,3365,"(40.76298745, -73.9742539496)"
11468,1,Free,LinkNYC - Citybridge,mn-05-122453,341 7 AVENUE,40.7479040004,-73.9927449999,986260.226939,211758.329814,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013873,12/16/2016,1,Manhattan,MN17,Midtown-Midtown South,3,10001,105,95,95,1015135,1008050000,4363,"(40.7479040004, -73.9927449999)"
12777,1,Free,LinkNYC - Citybridge,mn-09-120396,2858 BROADWAY,40.8048349996,-73.9659950002,993664.107144,232501.952369,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003918,07/12/2016,1,Manhattan,MN09,Morningside Heights,7,10025,109,199,199,1075433,1018837500,3704,"(40.8048349996, -73.9659950002)"
12833,1,Free,LinkNYC - Citybridge,mn-08-120983,1175 3 AVENUE,40.7676549998,-73.9619709998,994784.0114,218956.466664,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000836,03/29/2016,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,4,10065,108,118,118,1043902,1014237500,3337,"(40.7676549998, -73.9619709998)"
